country_iso3166_alpha3,gtap_country_number,gtap_country_code,gtap_country_group,gtap_country_name,gtap10_country_number,gtap10_country_code,gtap10_country_group,gtap10_country_name,env_ssp_country_code,env_ssp_country_name
"PNG",3,"XOC","Rest of Oceania","Papua New Guinea",3,"XOC","Rest of Oceania","Papua New Guinea","PNG","Papua New Guinea, The Independent State of"
"POL",76,"POL","Poland","Poland",74,"POL","Poland","Poland","POL","Poland, The Republic of"
"PRI",53,"PRI","Puerto Rico","Puerto Rico",51,"PRI","Puerto Rico","Puerto Rico","PRI","Puerto Rico"
"PRK",10,"XEA","Rest of East Asia","Democratic People's Republic of Korea",10,"XEA","Rest of East Asia","Korea, Democratic People's Republic of","PRK","Korea, The Democratic People's Republic of"
"PRT",77,"PRT","Portugal","Portugal",75,"PRT","Portugal","Portugal","PRT","Portuguese Republic, The"
"PRY",38,"PRY","Paraguay","Paraguay",37,"PRY","Paraguay","Paraguay","PRY","Paraguay, The Republic of"
"PSE",110,"PSE","Palestineian Territory, Occupied","Palestineian Territory, Occupied",108,"XWS","Rest of Western Asia","Palestinian Territory, Occupied","PSE","Palestine, The State of"
"PYF",3,"XOC","Rest of Oceania","French Polynesia",3,"XOC","Rest of Oceania","French Polynesia","PYF","French Polynesia"
"QAT",111,"QAT","Qatar","Qatar",104,"QAT","Qatar","Qatar","QAT","Qatar, The State of"
"REU",65,"FRA","France","Réunion",63,"FRA","France","Réunion","REU","Réunion"
"ROU",78,"ROU","Romania","Romania",76,"ROU","Romania","Romania","ROU","Romania"
"RUS",90,"RUS","Russian Federation","Russian Federation",87,"RUS","Russian Federation","Russian Federation","RUS","Russian Federation, The"
"RWA",148,"RWA","Rwanda","Rwanda",131,"RWA","Rwanda","Rwanda","RWA","Rwanda, The Republic of"
"SAU",112,"SAU","Saudi Arabia","Saudi Arabia",105,"SAU","Saudi Arabia","Saudi Arabia","SAU","Saudi Arabia, The Kingdom of"
"SDN",149,"SDN","Sudan","Sudan",136,"XEC","Rest of Eastern Africa","Sudan","SDN","Sudan, The Republic of the"
"SEN",131,"SEN","Senegal","Senegal",120,"SEN","Senegal","Senegal","SEN","Senegal, The Republic of"
